"municipality_name","entitled_to_vote","turnout","yes_m","no_m","yes_m_pct","no_m_pct","yes_e","no_e","yes_e_pct","no_e_pct","yes_f","no_f","yes_f_pct","no_f_pct","yes_r","no_r","yes_r_pct","no_r_pct"
"Lohnstorf",171,65.5,45,65,40.9,59.1,53,59,47.3,52.7,39,73,34.8,65.2,63,48,56.8,43.2
"Mattstetten",467,70.7,158,172,47.9,52.1,148,182,44.8,55.2,106,220,32.5,67.5,208,121,63.2,36.8
"Meikirch",1945,70.4,605,744,44.8,55.2,453,917,33.1,66.9,552,787,41.2,58.8,763,598,56.1,43.9
"Mirchel",477,55.8,149,112,57.1,42.9,156,110,58.6,41.4,96,164,36.9,63.1,159,107,59.8,40.2
"Moosseedorf",2733,59.1,748,829,47.4,52.6,673,941,41.7,58.3,1037,522,66.5,33.5,978,621,61.2,38.8
"Mühleberg",2236,62.3,674,704,48.9,51.1,645,747,46.3,53.7,506,843,37.5,62.5,906,479,65.4,34.6
"Mühledorf ",182,69.2,61,63,49.2,50.8,53,73,42.1,57.9,45,80,36,64,63,60,51.2,48.8
"Mühlethurnen",1097,67.6,292,439,39.9,60.1,272,470,36.7,63.3,317,409,43.7,56.3,401,341,54,46
"Münchenbuchsee",6984,60.4,1914,2245,46,54,1446,2772,34.3,65.7,1687,2427,41,59,2331,1857,55.7,44.3
"Münchenwiler und Clavaleyres",386,56.2,116,101,53.5,46.5,108,109,49.8,50.2,55,160,25.6,74.4,154,62,71.3,28.7
"Münsingen",8786,67.6,2534,3308,43.4,56.6,2004,3935,33.7,66.3,2270,3483,39.5,60.5,3325,2567,56.4,43.6
"Muri bei Bern",9450,71.2,2640,4005,39.7,60.3,1855,4878,27.6,72.4,2300,4311,34.8,65.2,3870,2825,57.8,42.2
"Neuenegg",3836,60.6,1107,1169,48.6,51.4,1135,1189,48.8,51.2,818,1451,36.1,63.9,1537,767,66.7,33.3
"Niederhünigen",492,65.2,153,157,49.4,50.6,139,182,43.3,56.7,125,181,40.8,59.2,187,130,59,41
"Oberbalm",700,60.1,223,193,53.6,46.4,249,172,59.1,40.9,168,233,41.9,58.1,272,147,64.9,35.1
"Oberdiessbach",2704,62.9,885,793,52.7,47.3,855,847,50.2,49.8,622,1031,37.6,62.4,1038,637,62,38
"Oberhünigen",234,60.3,87,49,64,36,88,52,62.9,37.1,58,80,42,58,94,47,66.7,33.3
"Oberthal",623,53,181,147,55.2,44.8,198,132,60,40,139,186,42.8,57.2,187,130,59,41
"Oppligen",519,55.3,148,131,53,47,149,138,51.9,48.1,92,182,33.6,66.4,166,112,59.7,40.3
"Ostermundigen",10304,57.1,2524,3256,43.7,56.3,2005,3875,34.1,65.9,2368,3321,41.6,58.4,3390,2431,58.2,41.8
"Riggisberg",1912,57,605,474,56.1,43.9,610,479,56,44,403,656,38.1,61.9,705,377,65.2,34.8
"Rubigen",2248,65.6,645,805,44.5,55.5,520,955,35.3,64.7,513,428,54.5,45.5,864,590,59.4,40.6
"Rüeggisberg",1494,56,431,392,52.4,47.6,492,344,58.9,41.1,355,454,43.9,56.1,507,319,61.4,38.6
"Rümligen",354,65.8,124,109,53.2,46.8,118,113,51.1,48.9,108,125,46.4,53.6,145,88,62.2,37.8
"Rüschegg",1406,50.4,376,325,53.6,46.4,405,303,57.2,42.8,335,350,48.9,51.1,455,244,65.1,34.9
"Schlosswil",512,61.5,149,163,47.8,52.2,145,170,46,54,140,174,44.6,55.4,195,120,61.9,38.1
"Schwarzenburg",5531,57,1510,1598,48.6,51.4,1470,1682,46.6,53.4,1310,1735,43,57,1862,1267,59.5,40.5
"Stettlen",2312,66.7,657,874,42.9,57.1,536,1005,34.8,65.2,549,979,35.9,64.1,933,610,60.5,39.5
"Tägertschi",301,69.8,90,114,44.1,55.9,102,108,48.6,51.4,73,131,35.8,64.2,121,85,58.7,41.3
"Toffen",1941,64.4,616,624,49.7,50.3,527,723,42.2,57.8,411,811,33.6,66.4,770,478,61.7,38.3
"Urtenen-Schönbühl",4226,58.6,1147,1292,47,53,1029,1446,41.6,58.4,914,1488,38.1,61.9,1462,981,59.8,40.2
"Vechigen",4038,69.1,1300,1453,47.2,52.8,1099,1690,39.4,60.6,1049,1675,38.5,61.5,1646,1132,59.3,40.7
"Wald und Niedermuhlern",1340,61.6,415,402,50.8,49.2,370,455,44.8,55.2,335,466,41.8,58.2,493,324,60.3,39.7
"Walkringen",1446,58,400,420,48.8,51.2,465,373,55.5,44.5,304,504,37.6,62.4,530,300,63.9,36.1
"Wichtrach",3149,61.7,919,1004,47.8,52.2,852,1090,43.9,56.1,715,1171,37.9,62.1,1262,665,65.5,34.5
"Wiggiswil und Deisswil b.M.",151,68.9,51,52,49.5,50.5,52,52,50,50,58,41,58.6,41.4,70,32,68.6,31.4
"Wileroltigen",281,60.9,97,68,58.8,41.2,102,69,59.6,40.4,56,102,35.4,64.6,127,40,76,24
"Wohlen",6886,73.3,2034,2931,41,59,1535,3509,30.4,69.6,2114,2833,42.7,57.3,2610,2395,52.1,47.9
"Worb",8197,63.3,2363,2715,46.5,53.5,1888,3303,36.4,63.6,1990,3034,39.6,60.4,3045,2093,59.3,40.7
"Zäziwil",1247,59.5,390,343,53.2,46.8,349,393,47,53,268,453,37.2,62.8,435,300,59.2,40.8
"Zollikofen",6858,65.2,1864,2547,42.3,57.7,1532,2937,34.3,65.7,1732,2632,39.7,60.3,2542,1893,57.3,42.7
"Zuzwil",445,70.8,129,180,41.7,58.3,120,195,38.1,61.9,94,217,30.2,69.8,194,121,61.6,38.4
"Amsoldingen",666,61,202,204,49.8,50.2,218,186,54,46,153,251,37.9,62.1,262,143,64.7,35.3
"Blumenstein",1009,58.9,316,261,54.8,45.2,350,243,59,41,224,355,38.7,61.3,359,235,60.4,39.6
"Buchholterberg",1256,59.2,543,194,73.7,26.3,517,226,69.6,30.4,200,523,27.7,72.3,515,223,69.8,30.2
"Burgistein",881,60.8,269,261,50.8,49.2,299,237,55.8,44.2,213,307,41,59,327,209,61,39
"Eriz",430,57.4,157,73,68.3,31.7,198,49,80.2,19.8,71,158,31,69,191,53,78.3,21.7
"Fahrni",623,69.7,291,143,67.1,32.9,230,139,62.3,37.7,125,239,34.3,65.7,249,121,67.3,32.7
"Forst-Längenbühl",610,63.6,198,178,52.7,47.3,239,149,61.6,38.4,140,234,37.4,62.6,246,135,64.6,35.4
"Gurzelen",649,61.8,229,165,58.1,41.9,230,171,57.4,42.6,151,237,38.9,61.1,259,139,65.1,34.9
"Heiligenschwendi",524,57.3,172,118,59.3,40.7,164,136,54.7,45.3,108,181,37.4,62.6,210,88,70.5,29.5
"Heimberg",4968,59.1,1580,1292,55,45,1505,1431,51.3,48.7,999,1845,35.1,64.9,1974,933,67.9,32.1
"Hilterfingen",3160,64.8,914,1113,45.1,54.9,739,1308,36.1,63.9,757,1246,37.8,62.2,1070,953,52.9,47.1
"Homberg",384,64.8,162,79,67.2,32.8,175,74,70.3,29.7,91,146,38.4,61.6,171,71,70.7,29.3
"Horrenbach-Buchen",182,61.5,77,32,70.6,29.4,101,11,90.2,9.8,42,66,38.9,61.1,88,23,79.3,20.7
"Oberhofen ",1878,70.8,591,719,45.1,54.9,525,805,39.5,60.5,447,857,34.3,65.7,810,505,61.6,38.4
"Oberlangenegg",384,58.9,163,58,73.8,26.2,171,55,75.7,24.3,55,163,25.2,74.8,164,57,74.2,25.8
"Pohlern",200,57.5,65,46,58.6,41.4,78,37,67.8,32.2,39,75,34.2,65.8,85,28,75.2,24.8
"Reutigen",786,64.2,280,222,55.8,44.2,289,213,57.6,42.4,165,330,33.3,66.7,359,146,71.1,28.9
"Schwendibach",198,65.2,64,62,50.8,49.2,77,52,59.7,40.3,46,79,36.8,63.2,93,34,73.2,26.8
"Seftigen",1705,58.9,547,448,55,45,498,506,49.6,50.4,372,608,38,62,616,379,61.9,38.1
"Sigriswil",3876,65.9,1374,1133,54.8,45.2,1559,997,61,39,917,1565,36.9,63.1,1668,868,65.8,34.2
"Steffisburg",11857,62.6,3712,3591,50.8,49.2,3305,4117,44.5,55.5,2801,4406,38.9,61.1,4524,2831,61.5,38.5
"Stocken-Höfen",792,53.8,229,190,54.7,45.3,289,137,67.8,32.2,152,259,37,63,292,128,69.5,30.5
"Teuffenthal",142,61.3,53,34,60.9,39.1,64,23,73.6,26.4,45,40,52.9,47.1,52,34,60.5,39.5
"Thierachern",1836,64.4,692,479,59.1,40.9,651,532,55,45,445,704,38.7,61.3,781,402,66,34
"Thun",32683,59.4,8883,10173,46.6,53.4,7850,11553,40.5,59.5,7596,11268,40.3,59.7,11347,7845,59.1,40.9
"Uebeschi",521,59.7,191,120,61.4,38.6,209,102,67.2,32.8,115,186,38.2,61.8,184,127,59.2,40.8
"Uetendorf",4701,60.4,1543,1269,54.9,45.1,1575,1263,55.5,44.5,1018,1708,37.3,62.7,1794,1008,64,36
"Unterlangenegg",750,57.7,286,144,66.5,33.5,295,138,68.1,31.9,131,296,30.7,69.3,319,113,73.8,26.2
"Uttigen",1501,58.8,469,405,53.7,46.3,419,463,47.5,52.5,340,521,39.5,60.5,538,340,61.3,38.7
"Wachseldorn",180,67.8,95,25,79.2,20.8,93,29,76.2,23.8,31,88,26.1,73.9,95,25,79.2,20.8
"Wattenwil",2270,59.9,801,546,59.5,40.5,751,609,55.2,44.8,555,767,42,58,859,491,63.6,36.4
"Zwieselberg",221,68.3,76,66,53.5,46.5,82,69,54.3,45.7,56,85,39.7,60.3,79,70,53,47
"Boltigen",1091,55.9,348,251,58.1,41.9,414,196,67.9,32.1,211,389,35.2,64.8,464,142,76.6,23.4
"Gsteig",712,52,166,191,46.5,53.5,206,164,55.7,44.3,126,228,35.6,64.4,272,94,74.3,25.7
"Lauenen",612,55.7,177,149,54.3,45.7,200,141,58.7,41.3,111,200,35.7,64.3,250,86,74.4,25.6
"Lenk",1829,59.9,571,488,53.9,46.1,660,435,60.3,39.7,360,688,34.4,65.6,769,300,71.9,28.1
"Saanen",4416,57.2,1221,1263,49.2,50.8,1227,1298,48.6,51.4,763,1668,31.4,68.6,1826,674,73,27
"St.Stephan",1059,68.3,461,236,66.1,33.9,535,188,74,26,204,493,29.3,70.7,533,178,75,25
"Zweisimmen",2308,59.4,639,706,47.5,52.5,708,664,51.6,48.4,464,876,34.6,65.4,888,465,65.6,34.4
"Adelboden",2701,68.1,1168,658,64,36,1169,671,63.5,36.5,589,1197,33,67,1315,509,72.1,27.9
"Aeschi ",1699,63.7,588,472,55.5,44.5,584,498,54,46,415,631,39.7,60.3,672,397,62.9,37.1
"Därstetten",668,59.6,173,205,45.8,54.2,272,126,68.3,31.7,141,232,37.8,62.2,273,122,69.1,30.9
"Diemtigen",1725,56.9,580,368,61.2,38.8,719,263,73.2,26.8,324,605,34.9,65.1,716,248,74.3,25.7
"Erlenbach",1359,57.5,421,343,55.1,44.9,481,300,61.6,38.4,290,473,38,62,490,282,63.5,36.5
"Frutigen",5306,61.7,1973,1224,61.7,38.3,1927,1349,58.8,41.2,1200,1963,37.9,62.1,2035,1200,62.9,37.1
"Kandergrund",619,57.5,231,122,65.4,34.6,246,110,69.1,30.9,135,217,38.4,61.6,249,105,70.3,29.7
"Kandersteg",922,59.4,275,267,50.7,49.3,260,288,47.4,52.6,171,361,32.1,67.9,325,219,59.7,40.3
"Krattigen",875,61.1,278,251,52.6,47.4,219,316,40.9,59.1,181,339,34.8,65.2,362,173,67.7,32.3
"Oberwil ",680,61.2,249,152,62.1,37.9,290,126,69.7,30.3,124,280,30.7,69.3,295,119,71.3,28.7
"Reichenbach ",2803,57.5,910,665,57.8,42.2,1073,538,66.6,33.4,536,1002,34.9,65.1,1013,573,63.9,36.1
"Spiez",9657,62.7,2954,3028,49.4,50.6,2579,3479,42.6,57.4,2428,3472,41.2,58.8,3280,2755,54.3,45.7
"Wimmis",1839,60.4,595,495,54.6,45.4,665,445,59.9,40.1,384,693,35.7,64.3,756,338,69.1,30.9
"Beatenberg",885,61.9,283,236,54.5,45.5,301,247,54.9,45.1,199,330,37.6,62.4,366,172,68,32
"Bönigen",1962,54.9,529,527,50.1,49.9,533,544,49.5,50.5,374,671,35.8,64.2,652,411,61.3,38.7
"Brienz",2376,59.6,727,666,52.2,47.8,751,664,53.1,46.9,516,864,37.4,62.6,939,462,67,33
"Brienzwiler",385,59.5,121,100,54.8,45.2,138,91,60.3,39.7,102,121,45.7,54.3,138,90,60.5,39.5
"Därligen",313,56.9,84,91,48,52,92,86,51.7,48.3,59,112,34.5,65.5,115,60,65.7,34.3
"Grindelwald",2678,57,741,723,50.6,49.4,966,560,63.3,36.7,434,1014,30,70,1132,376,75.1,24.9
"Gsteigwiler",326,61,89,107,45.4,54.6,91,108,45.7,54.3,84,111,43.1,56.9,117,81,59.1,40.9
"Gündlischwand",238,55,62,67,48.1,51.9,84,44,65.6,34.4,30,94,24.2,75.8,89,42,67.9,32.1
"Guttannen",226,58,54,72,42.9,57.1,63,67,48.5,51.5,48,80,37.5,62.5,79,52,60.3,39.7
"Habkern",491,57.8,159,119,57.2,42.8,200,84,70.4,29.6,100,178,36,64,213,66,76.3,23.7
"Hasliberg",839,55.4,212,225,48.5,51.5,260,205,55.9,44.1,176,264,40,60,284,176,61.7,38.3
"Hofstetten ",433,57.5,130,116,52.8,47.2,127,122,51,49,81,166,32.8,67.2,173,74,70,30
"Innertkirchen",847,53.8,219,230,48.8,51.2,271,185,59.4,40.6,147,298,33,67,340,111,75.4,24.6
"Interlaken",3510,58.1,901,1094,45.2,54.8,823,1216,40.4,59.6,771,1229,38.6,61.5,1232,781,61.2,38.8
"Iseltwald",329,59,99,91,52.1,47.9,118,76,60.8,39.2,68,118,36.6,63.4,147,45,76.6,23.4
"Lauterbrunnen",1624,55.5,475,405,54,46,430,471,47.7,52.3,314,569,35.6,64.4,616,280,68.8,31.3
"Leissigen",771,56.5,222,209,51.5,48.5,230,206,52.8,47.2,173,261,39.9,60.1,285,148,65.8,34.2
"Lütschental",195,50.3,60,38,61.2,38.8,69,29,70.4,29.6,33,64,34,66,71,26,73.2,26.8
"Matten ",2789,57.6,746,822,47.6,52.4,714,892,44.5,55.5,588,957,38.1,61.9,992,588,62.8,37.2
"Meiringen",3288,58.5,925,975,48.7,51.3,879,1046,45.7,54.3,721,1150,38.5,61.5,1188,734,61.8,38.2
"Niederried ",267,58.1,68,80,45.9,54.1,79,76,51,49,54,92,37,63,104,49,68,32
"Oberried ",357,53.2,93,93,50,50,98,92,51.6,48.4,86,101,46,54,112,77,59.3,40.7
"Ringgenberg ",2030,54.9,570,527,52,48,566,549,50.8,49.2,451,637,41.5,58.5,674,441,60.4,39.6
"Saxeten",96,45.8,25,18,58.1,41.9,30,13,69.8,30.2,29,15,65.9,34.1,31,13,70.5,29.5
"Schattenhalb",436,54.1,100,136,42.4,57.6,140,96,59.3,40.7,63,169,27.2,72.8,181,54,77,23
"Schwanden bei Brienz",485,61.4,137,155,46.9,53.1,134,164,45,55,112,176,38.9,61.1,184,114,61.7,38.3
"Unterseen",4086,61.4,1175,1307,47.3,52.7,1069,1439,42.6,57.4,903,1545,36.9,63.1,1493,992,60.1,39.9
"Wilderswil",1893,55.7,548,499,52.3,47.7,541,513,51.3,48.7,378,662,36.3,63.7,686,368,65.1,34.9
