Thunstetten,2'263,56.00%,675,568,54.30%,45.70%,694,574,54.70%,45.30%,511,719,41.50%,58.50%,824,407,66.90%,33.10%
Ursenbach,716,47.10%,168,165,50.50%,49.50%,188,149,55.80%,44.20%,113,223,33.60%,66.40%,199,137,59.20%,40.80%
Walliswil bei Niederbipp,180,58.30%,51,53,49.00%,51.00%,57,48,54.30%,45.70%,30,73,29.10%,70.90%,75,30,71.40%,28.60%
Walliswil bei Wangen,489,56.00%,167,102,62.10%,37.90%,152,122,55.50%,44.50%,109,161,40.40%,59.60%,182,87,67.70%,32.30%
Walterswil (BE),442,53.40%,133,95,58.30%,41.70%,150,85,63.80%,36.20%,80,154,34.20%,65.80%,162,74,68.60%,31.40%
Wangen an der Aare,1'642,58.60%,469,481,49.40%,50.60%,464,499,48.20%,51.80%,332,602,35.50%,64.50%,667,284,70.10%,29.90%
Wangenried,340,60.30%,112,88,56.00%,44.00%,105,100,51.20%,48.80%,91,111,45.00%,55.00%,134,70,65.70%,34.30%
Wiedlisbach,1'648,54.80%,471,423,52.70%,47.30%,466,437,51.60%,48.40%,363,515,41.30%,58.70%,597,299,66.60%,33.40%
Wolfisberg,151,60.30%,50,40,55.60%,44.40%,52,39,57.10%,42.90%,31,58,34.80%,65.20%,58,33,63.70%,36.30%
Wynau,1'084,52.60%,308,256,54.60%,45.40%,305,265,53.50%,46.50%,212,349,37.80%,62.20%,357,210,63.00%,37.00%
Wyssachen,968,57.00%,317,227,58.30%,41.70%,342,210,62.00%,38.00%,220,318,40.90%,59.10%,367,175,67.70%,32.30%
Total,58'125,58.00%,16'840,16'389,50.70%,49.30%,16'286,17'421,48.30%,51.70%,12'292,20'660,37.30%,62.70%,21'366,12'094,63.90%,36.10%
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Verwaltungskreis Emmental,,,Volksinitiative «Für Ehe und Familie - gegen die Heiratsstrafe» ,,,,Volksinitiative «Zur Durchsetzung der Ausschaffung krimineller Ausländer (Durchsetzungsinitiative)» ,,,,Volksinitiative «Keine Spekulation mit Nahrungsmitteln!» ,,,,Änderung des Bundesgesetzes über den Strassentransitverkehr im Alpengebiet (Sanierung Gotthard-Strassentunnel) ,,, 
Arrondissement administratif de : Emmental,,,Initiative populaire «Pour le couple et la famille - Non à la pénalisation du mariage»,,,,Initiative populaire «Pour le renvoi effectif des étrangers criminels (initiative de mise en oeuvre)»,,,,Initiative populaire «Pas de spéculation sur les denrées alimentaires»,,,,Modification de la loi fédérale sur le transit routier dans la région alpine (Réfection du tunnel routier du Gothard),,, 
Gemeinde,Stimmber.,Stimmbet.,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein 
Commune,Nbre. d'élect.,Participat.,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non
,,,,,,,,,,,,,,,,,,
Aefligen,818,58.30%,246,219,52.90%,47.10%,265,212,55.60%,44.40%,174,296,37.00%,63.00%,327,145,69.30%,30.70%
Affoltern im Emmental,926,55.50%,282,218,56.40%,43.60%,294,220,57.20%,42.80%,183,316,36.70%,63.30%,307,203,60.20%,39.80%
Alchenstorf,480,55.40%,120,140,46.20%,53.80%,146,120,54.90%,45.10%,77,180,30.00%,70.00%,159,102,60.90%,39.10%
Bätterkinden,2'438,61.00%,666,820,44.80%,55.20%,533,939,36.20%,63.80%,580,877,39.80%,60.20%,863,612,58.50%,41.50%
Burgdorf,11'728,60.00%,2'892,4'032,41.80%,58.20%,2'055,4'977,29.20%,70.80%,2'945,3'860,43.30%,56.70%,3'559,3'383,51.30%,48.70%
Dürrenroth,854,54.30%,261,202,56.40%,43.60%,274,190,59.10%,40.90%,151,303,33.30%,66.70%,311,150,67.50%,32.50%
Eggiwil,2'017,46.60%,534,389,57.90%,42.10%,674,266,71.70%,28.30%,313,606,34.10%,65.90%,658,273,70.70%,29.30%
Ersigen,1'605,63.30%,490,507,49.10%,50.90%,490,526,48.20%,51.80%,352,644,35.30%,64.70%,672,337,66.60%,33.40%
Hasle bei Burgdorf,2'589,57.50%,765,684,52.80%,47.20%,741,747,49.80%,50.20%,557,879,38.80%,61.20%,944,535,63.80%,36.20%
Heimiswil,1'199,55.50%,325,328,49.80%,50.20%,359,307,53.90%,46.10%,244,404,37.70%,62.30%,438,225,66.10%,33.90%
Hindelbank,1'790,57.50%,504,512,49.60%,50.40%,459,571,44.60%,55.40%,339,664,33.80%,66.20%,632,389,61.90%,38.10%
Höchstetten und Hellsau,370,57.80%,124,87,58.80%,41.20%,126,88,58.90%,41.10%,80,130,38.10%,61.90%,172,41,80.80%,19.20%
Kernenried,401,60.80%,125,116,51.90%,48.10%,139,105,57.00%,43.00%,78,154,33.60%,66.40%,151,93,61.90%,38.10%
Kirchberg ,4'175,60.70%,1'150,1'349,46.00%,54.00%,1'046,1'489,41.30%,58.70%,867,1'609,35.00%,65.00%,1'606,905,64.00%,36.00%
Koppigen,1'649,58.00%,440,502,46.70%,53.30%,440,517,46.00%,54.00%,304,627,32.70%,67.30%,658,291,69.30%,30.70%
Krauchthal,1'895,58.40%,594,503,54.10%,45.90%,600,507,54.20%,45.80%,430,653,39.70%,60.30%,743,352,67.90%,32.10%
Langnau ,7'342,55.30%,1'812,2'168,45.50%,54.50%,1'674,2'387,41.20%,58.80%,1'662,2'285,42.10%,57.90%,2'293,1'740,56.90%,43.10%
Lauperswil,2'195,52.80%,629,505,55.50%,44.50%,716,443,61.80%,38.20%,377,726,34.20%,65.80%,724,428,62.80%,37.20%
Lützelflüh,3'240,56.30%,971,829,53.90%,46.10%,985,840,54.00%,46.00%,644,1'134,36.20%,63.80%,1'173,641,64.70%,35.30%
Lyssach,1'102,60.80%,311,351,47.00%,53.00%,343,327,51.20%,48.80%,231,423,35.30%,64.70%,435,222,66.20%,33.80%
Mötschwil und Rüti b.L.,254,54.70%,62,72,46.30%,53.70%,67,72,48.20%,51.80%,54,79,40.60%,59.40%,80,56,58.80%,41.20%
Oberburg,2'018,55.90%,589,529,52.70%,47.30%,569,556,50.60%,49.40%,403,702,36.50%,63.50%,724,405,64.10%,35.90%
Röthenbach im Emmental,1'011,52.20%,343,177,66.00%,34.00%,396,132,75.00%,25.00%,185,333,35.70%,64.30%,390,135,74.30%,25.70%
Rüderswil,1'934,54.00%,516,506,50.50%,49.50%,619,426,59.20%,40.80%,356,650,35.40%,64.60%,694,345,66.80%,33.20%
Rüdtligen-Alchenflüh,1'536,51.70%,380,405,48.40%,51.60%,385,409,48.50%,51.50%,241,531,31.20%,68.80%,538,251,68.20%,31.80%
Rüegsau,2'590,58.40%,837,666,55.70%,44.30%,785,727,51.90%,48.10%,503,983,33.80%,66.20%,1'010,501,66.80%,33.20%
Rumendingen,64,71.90%,25,21,54.30%,45.70%,23,23,50.00%,50.00%,11,34,24.40%,75.60%,29,15,65.90%,34.10%
Schangnau,769,57.50%,309,120,72.00%,28.00%,347,95,78.50%,21.50%,99,330,23.10%,76.90%,345,87,79.90%,20.10%
Signau,2'188,56.50%,617,608,50.40%,49.60%,728,509,58.90%,41.10%,466,737,38.70%,61.30%,817,414,66.40%,33.60%
Sumiswald,4'117,52.50%,1'067,1'080,49.70%,50.30%,1'070,1'091,49.50%,50.50%,764,1'355,36.10%,63.90%,1'386,761,64.60%,35.40%
Trachselwald,795,54.50%,247,174,58.70%,41.30%,263,170,60.70%,39.30%,175,246,41.60%,58.40%,264,167,61.30%,38.70%
Trub,1'328,43.70%,321,228,58.50%,41.50%,389,191,67.10%,32.90%,257,288,47.20%,52.80%,346,219,61.20%,38.80%
Trubschachen,1'116,54.90%,306,295,50.90%,49.10%,313,300,51.10%,48.90%,239,350,40.60%,59.40%,384,222,63.40%,36.60%
Utzenstorf,3'192,59.30%,841,1'024,45.10%,54.90%,840,1'053,44.40%,55.60%,724,1'139,38.90%,61.10%,1'120,749,59.90%,40.10%
Wiler bei Utzenstorf,703,51.90%,187,176,51.50%,48.50%,170,195,46.60%,53.40%,134,224,37.40%,62.60%,222,142,61.00%,39.00%
Willadingen,174,62.10%,62,45,57.90%,42.10%,53,55,49.10%,50.90%,30,77,28.00%,72.00%,75,33,69.40%,30.60%
Wynigen,1'653,60.10%,515,473,52.10%,47.90%,505,488,50.90%,49.10%,369,607,37.80%,62.20%,592,398,59.80%,40.20%
Zielebach,265,55.50%,68,77,46.90%,53.10%,84,63,57.10%,42.90%,61,83,42.40%,57.60%,96,50,65.80%,34.20%
Total,74'520,56.80%,20'533,21'137,49.30%,50.70%,19'965,22'333,47.20%,52.80%,15'659,25'518,38.00%,62.00%,25'937,16'017,61.80%,38.20%
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Verwaltungskreis Bern-Mittelland,,,Volksinitiative «Für Ehe und Familie - gegen die Heiratsstrafe» ,,,,Volksinitiative «Zur Durchsetzung der Ausschaffung krimineller Ausländer (Durchsetzungsinitiative)» ,,,,Volksinitiative «Keine Spekulation mit Nahrungsmitteln!» ,,,,Änderung des Bundesgesetzes über den Strassentransitverkehr im Alpengebiet (Sanierung Gotthard-Strassentunnel) ,,, 
Arrondissement administratif de : Bern-Mittelland,,,Initiative populaire «Pour le couple et la famille - Non à la pénalisation du mariage»,,,,Initiative populaire «Pour le renvoi effectif des étrangers criminels (initiative de mise en oeuvre)»,,,,Initiative populaire «Pas de spéculation sur les denrées alimentaires»,,,,Modification de la loi fédérale sur le transit routier dans la région alpine (Réfection du tunnel routier du Gothard),,, 
Gemeinde,Stimmber.,Stimmbet.,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein 
Commune,Nbre. d'élect.,Participat.,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non
,,,,,,,,,,,,,,,,,,
Allmendingen,412,70.60%,168,122,57.90%,42.10%,141,147,49.00%,51.00%,71,213,25.00%,75.00%,200,91,68.70%,31.30%
Arni ,753,56.60%,212,210,50.20%,49.80%,261,165,61.30%,38.70%,134,281,32.30%,67.70%,286,136,67.80%,32.20%
Bäriswil,819,70.50%,309,264,53.90%,46.10%,272,301,47.50%,52.50%,210,360,36.80%,63.20%,350,227,60.70%,39.30%
Belp,8'377,63.70%,2'571,2'685,48.90%,51.10%,2'341,2'999,43.80%,56.20%,1'989,3'183,38.50%,61.50%,3'267,2'032,61.70%,38.30%
Bern,86'736,67.80%,15'928,41'756,27.60%,72.40%,10'193,48'602,17.30%,82.70%,30'672,26'391,53.80%,46.20%,22'306,35'527,38.60%,61.40%
Biglen,1'350,60.00%,356,437,44.90%,55.10%,350,460,43.20%,56.80%,247,547,31.10%,68.90%,563,242,69.90%,30.10%
Bolligen,4'759,74.00%,1'488,2'005,42.60%,57.40%,1'073,2'450,30.50%,69.50%,1'404,2'066,40.50%,59.50%,1'927,1'586,54.90%,45.10%
Bowil,1'109,55.30%,318,289,52.40%,47.60%,360,253,58.70%,41.30%,230,377,37.90%,62.10%,408,205,66.60%,33.40%
Bremgarten ,3'231,75.30%,936,1'453,39.20%,60.80%,602,1'831,24.70%,75.30%,952,1'415,40.20%,59.80%,1'178,1'237,48.80%,51.20%
Brenzikofen,422,63.30%,150,117,56.20%,43.80%,160,105,60.40%,39.60%,96,167,36.50%,63.50%,162,103,61.10%,38.90%
Diemerswil,156,70.50%,51,58,46.80%,53.20%,49,61,44.50%,55.50%,41,55,42.70%,57.30%,71,39,64.50%,35.50%
Ferenbalm,954,65.80%,343,276,55.40%,44.60%,348,280,55.40%,44.60%,230,386,37.30%,62.70%,390,229,63.00%,37.00%
Fraubrunnen,3'796,63.80%,1'154,1'245,48.10%,51.90%,959,1'462,39.60%,60.40%,831,1'534,35.10%,64.90%,1'458,948,60.60%,39.40%
Frauenkappelen,942,64.20%,280,308,47.60%,52.40%,223,382,36.90%,63.10%,226,367,38.10%,61.90%,337,268,55.70%,44.30%
Freimettigen,347,62.20%,117,97,54.70%,45.30%,104,110,48.60%,51.40%,92,122,43.00%,57.00%,122,94,56.50%,43.50%
Gelterfingen,224,64.30%,71,72,49.70%,50.30%,93,51,64.60%,35.40%,57,83,40.70%,59.30%,98,46,68.10%,31.90%
Gerzensee,910,64.60%,278,299,48.20%,51.80%,264,324,44.90%,55.10%,190,380,33.30%,66.70%,358,227,61.20%,38.80%
Golaten,243,64.20%,81,72,52.90%,47.10%,97,59,62.20%,37.80%,53,94,36.10%,63.90%,100,52,65.80%,34.20%
Grosshöchstetten,2'672,64.20%,823,866,48.70%,51.30%,661,1'055,38.50%,61.50%,557,1'102,33.60%,66.40%,1'040,646,61.70%,38.30%
Guggisberg,1'309,47.10%,347,260,57.20%,42.80%,368,236,60.90%,39.10%,271,334,44.80%,55.20%,348,269,56.40%,43.60%
Gurbrü,187,66.80%,66,55,54.50%,45.50%,66,59,52.80%,47.20%,48,71,40.30%,59.70%,71,50,58.70%,41.30%
Häutligen,212,62.30%,79,47,62.70%,37.30%,86,45,65.60%,34.40%,44,86,33.80%,66.20%,86,46,65.20%,34.80%
Herbligen,461,61.60%,153,131,53.90%,46.10%,163,120,57.60%,42.40%,82,192,29.90%,70.10%,202,80,71.60%,28.40%
Iffwil,329,63.20%,106,99,51.70%,48.30%,100,108,48.10%,51.90%,68,137,33.20%,66.80%,120,87,58.00%,42.00%
Ittigen,7'567,61.10%,2'020,2'525,44.40%,55.60%,1'547,3'078,33.40%,66.60%,1'735,2'762,38.60%,61.40%,2'674,1'902,58.40%,41.60%
Jegenstorf,4'175,67.60%,1'264,1'515,45.50%,54.50%,998,1'826,35.30%,64.70%,1'003,1'756,36.40%,63.60%,1'637,1'170,58.30%,41.70%
Kaufdorf,779,69.80%,288,250,53.50%,46.50%,209,335,38.40%,61.60%,233,303,43.50%,56.50%,315,229,57.90%,42.10%
Kehrsatz,2'699,66.80%,812,958,45.90%,54.10%,592,1'210,32.90%,67.10%,676,1'072,38.70%,61.30%,1'009,773,56.60%,43.40%
Kiesen,691,63.00%,216,214,50.20%,49.80%,211,224,48.50%,51.50%,142,275,34.10%,65.90%,273,159,63.20%,36.80%
"Kirchdorf, Jaberg, Noflen",1'196,64.90%,361,407,47.00%,53.00%,383,393,49.40%,50.60%,260,493,34.50%,65.50%,479,290,62.30%,37.70%
Kirchenthurnen,229,59.80%,78,58,57.40%,42.60%,75,60,55.60%,44.40%,46,89,34.10%,65.90%,99,38,72.30%,27.70%
Kirchlindach,2'250,75.20%,653,1'013,39.20%,60.80%,548,1'144,32.40%,67.60%,630,1'026,38.00%,62.00%,903,767,54.10%,45.90%
Köniz,27'848,66.30%,7'160,10'989,39.50%,60.50%,5'253,13'205,28.50%,71.50%,7'997,9'958,44.50%,55.50%,9'267,8'993,50.80%,49.20%
Konolfingen,4'021,63.00%,1'197,1'287,48.20%,51.80%,1'114,1'420,44.00%,56.00%,922,1'537,37.50%,62.50%,1'464,1'020,58.90%,41.10%
Kriechenwil,348,59.80%,115,89,56.40%,43.60%,102,106,49.00%,51.00%,86,120,41.70%,58.30%,129,77,62.60%,37.40%
Landiswil,541,60.40%,180,144,55.60%,44.40%,213,114,65.10%,34.90%,113,205,35.50%,64.50%,214,113,65.40%,34.60%
Laupen,2'266,60.30%,579,774,42.80%,57.20%,478,889,35.00%,65.00%,478,870,35.50%,64.50%,799,552,59.10%,40.90%
Linden,1'034,55.00%,338,216,61.00%,39.00%,396,173,69.60%,30.40%,199,348,36.40%,63.60%,410,146,73.70%,26.30%
Lohnstorf,171,65.50%,45,65,40.90%,59.10%,53,59,47.30%,52.70%,39,73,34.80%,65.20%,63,48,56.80%,43.20%
Mattstetten,467,70.70%,158,172,47.90%,52.10%,148,182,44.80%,55.20%,106,220,32.50%,67.50%,208,121,63.20%,36.80%
Meikirch,1'945,70.40%,605,744,44.80%,55.20%,453,917,33.10%,66.90%,552,787,41.20%,58.80%,763,598,56.10%,43.90%
Mirchel,477,55.80%,149,112,57.10%,42.90%,156,110,58.60%,41.40%,96,164,36.90%,63.10%,159,107,59.80%,40.20%
Moosseedorf,2'733,59.10%,748,829,47.40%,52.60%,673,941,41.70%,58.30%,1'037,522,66.50%,33.50%,978,621,61.20%,38.80%
Mühleberg,2'236,62.30%,674,704,48.90%,51.10%,645,747,46.30%,53.70%,506,843,37.50%,62.50%,906,479,65.40%,34.60%
Mühledorf ,182,69.20%,61,63,49.20%,50.80%,53,73,42.10%,57.90%,45,80,36.00%,64.00%,63,60,51.20%,48.80%
Mühlethurnen,1'097,67.60%,292,439,39.90%,60.10%,272,470,36.70%,63.30%,317,409,43.70%,56.30%,401,341,54.00%,46.00%
Münchenbuchsee,6'984,60.40%,1'914,2'245,46.00%,54.00%,1'446,2'772,34.30%,65.70%,1'687,2'427,41.00%,59.00%,2'331,1'857,55.70%,44.30%
Münchenwiler und Clavaleyres,386,56.20%,116,101,53.50%,46.50%,108,109,49.80%,50.20%,55,160,25.60%,74.40%,154,62,71.30%,28.70%
Münsingen,8'786,67.60%,2'534,3'308,43.40%,56.60%,2'004,3'935,33.70%,66.30%,2'270,3'483,39.50%,60.50%,3'325,2'567,56.40%,43.60%
Muri bei Bern,9'450,71.20%,2'640,4'005,39.70%,60.30%,1'855,4'878,27.60%,72.40%,2'300,4'311,34.80%,65.20%,3'870,2'825,57.80%,42.20%
Neuenegg,3'836,60.60%,1'107,1'169,48.60%,51.40%,1'135,1'189,48.80%,51.20%,818,1'451,36.10%,63.90%,1'537,767,66.70%,33.30%
Niederhünigen,492,65.20%,153,157,49.40%,50.60%,139,182,43.30%,56.70%,125,181,40.80%,59.20%,187,130,59.00%,41.00%
Oberbalm,700,60.10%,223,193,53.60%,46.40%,249,172,59.10%,40.90%,168,233,41.90%,58.10%,272,147,64.90%,35.10%
Oberdiessbach,2'704,62.90%,885,793,52.70%,47.30%,855,847,50.20%,49.80%,622,1'031,37.60%,62.40%,1'038,637,62.00%,38.00%
Oberhünigen,234,60.30%,87,49,64.00%,36.00%,88,52,62.90%,37.10%,58,80,42.00%,58.00%,94,47,66.70%,33.30%
Oberthal,623,53.00%,181,147,55.20%,44.80%,198,132,60.00%,40.00%,139,186,42.80%,57.20%,187,130,59.00%,41.00%
Oppligen,519,55.30%,148,131,53.00%,47.00%,149,138,51.90%,48.10%,92,182,33.60%,66.40%,166,112,59.70%,40.30%
Ostermundigen,10'304,57.10%,2'524,3'256,43.70%,56.30%,2'005,3'875,34.10%,65.90%,2'368,3'321,41.60%,58.40%,3'390,2'431,58.20%,41.80%
Riggisberg,1'912,57.00%,605,474,56.10%,43.90%,610,479,56.00%,44.00%,403,656,38.10%,61.90%,705,377,65.20%,34.80%
Rubigen,2'248,65.60%,645,805,44.50%,55.50%,520,955,35.30%,64.70%,513,428,54.50%,45.50%,864,590,59.40%,40.60%
Rüeggisberg,1'494,56.00%,431,392,52.40%,47.60%,492,344,58.90%,41.10%,355,454,43.90%,56.10%,507,319,61.40%,38.60%
Rümligen,354,65.80%,124,109,53.20%,46.80%,118,113,51.10%,48.90%,108,125,46.40%,53.60%,145,88,62.20%,37.80%
Rüschegg,1'406,50.40%,376,325,53.60%,46.40%,405,303,57.20%,42.80%,335,350,48.90%,51.10%,455,244,65.10%,34.90%
Schlosswil,512,61.50%,149,163,47.80%,52.20%,145,170,46.00%,54.00%,140,174,44.60%,55.40%,195,120,61.90%,38.10%
Schwarzenburg,5'531,57.00%,1'510,1'598,48.60%,51.40%,1'470,1'682,46.60%,53.40%,1'310,1'735,43.00%,57.00%,1'862,1'267,59.50%,40.50%
Stettlen,2'312,66.70%,657,874,42.90%,57.10%,536,1'005,34.80%,65.20%,549,979,35.90%,64.10%,933,610,60.50%,39.50%
Tägertschi,301,69.80%,90,114,44.10%,55.90%,102,108,48.60%,51.40%,73,131,35.80%,64.20%,121,85,58.70%,41.30%
Toffen,1'941,64.40%,616,624,49.70%,50.30%,527,723,42.20%,57.80%,411,811,33.60%,66.40%,770,478,61.70%,38.30%
Urtenen-Schönbühl,4'226,58.60%,1'147,1'292,47.00%,53.00%,1'029,1'446,41.60%,58.40%,914,1'488,38.10%,61.90%,1'462,981,59.80%,40.20%
Vechigen,4'038,69.10%,1'300,1'453,47.20%,52.80%,1'099,1'690,39.40%,60.60%,1'049,1'675,38.50%,61.50%,1'646,1'132,59.30%,40.70%
Wald und Niedermuhlern,1'340,61.60%,415,402,50.80%,49.20%,370,455,44.80%,55.20%,335,466,41.80%,58.20%,493,324,60.30%,39.70%
Walkringen,1'446,58.00%,400,420,48.80%,51.20%,465,373,55.50%,44.50%,304,504,37.60%,62.40%,530,300,63.90%,36.10%
Wichtrach,3'149,61.70%,919,1'004,47.80%,52.20%,852,1'090,43.90%,56.10%,715,1'171,37.90%,62.10%,1'262,665,65.50%,34.50%
Wiggiswil und Deisswil b.M.,151,68.90%,51,52,49.50%,50.50%,52,52,50.00%,50.00%,58,41,58.60%,41.40%,70,32,68.60%,31.40%
Wileroltigen,281,60.90%,97,68,58.80%,41.20%,102,69,59.60%,40.40%,56,102,35.40%,64.60%,127,40,76.00%,24.00%
Wohlen,6'886,73.30%,2'034,2'931,41.00%,59.00%,1'535,3'509,30.40%,69.60%,2'114,2'833,42.70%,57.30%,2'610,2'395,52.10%,47.90%
Worb,8'197,63.30%,2'363,2'715,46.50%,53.50%,1'888,3'303,36.40%,63.60%,1'990,3'034,39.60%,60.40%,3'045,2'093,59.30%,40.70%
Zäziwil,1'247,59.50%,390,343,53.20%,46.80%,349,393,47.00%,53.00%,268,453,37.20%,62.80%,435,300,59.20%,40.80%
Zollikofen,6'858,65.20%,1'864,2'547,42.30%,57.70%,1'532,2'937,34.30%,65.70%,1'732,2'632,39.70%,60.30%,2'542,1'893,57.30%,42.70%
Zuzwil,445,70.80%,129,180,41.70%,58.30%,120,195,38.10%,61.90%,94,217,30.20%,69.80%,194,121,61.60%,38.40%
Total,286'955,65.30%,73'202,111'229,39.70%,60.30%,58'455,129'016,31.20%,68.80%,80'541,101'360,44.30%,55.70%,96'185,89'237,51.90%,48.10%
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Verwaltungskreis Thun,,,Volksinitiative «Für Ehe und Familie - gegen die Heiratsstrafe» ,,,,Volksinitiative «Zur Durchsetzung der Ausschaffung krimineller Ausländer (Durchsetzungsinitiative)» ,,,,Volksinitiative «Keine Spekulation mit Nahrungsmitteln!» ,,,,Änderung des Bundesgesetzes über den Strassentransitverkehr im Alpengebiet (Sanierung Gotthard-Strassentunnel) ,,, 
Arrondissement administratif de : Thun,,,Initiative populaire «Pour le couple et la famille - Non à la pénalisation du mariage»,,,,Initiative populaire «Pour le renvoi effectif des étrangers criminels (initiative de mise en oeuvre)»,,,,Initiative populaire «Pas de spéculation sur les denrées alimentaires»,,,,Modification de la loi fédérale sur le transit routier dans la région alpine (Réfection du tunnel routier du Gothard),,, 
Gemeinde,Stimmber.,Stimmbet.,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein 
Commune,Nbre. d'élect.,Participat.,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non
,,,,,,,,,,,,,,,,,,
Amsoldingen,666,61.00%,202,204,49.80%,50.20%,218,186,54.00%,46.00%,153,251,37.90%,62.10%,262,143,64.70%,35.30%
Blumenstein,1'009,58.90%,316,261,54.80%,45.20%,350,243,59.00%,41.00%,224,355,38.70%,61.30%,359,235,60.40%,39.60%
Buchholterberg,1'256,59.20%,543,194,73.70%,26.30%,517,226,69.60%,30.40%,200,523,27.70%,72.30%,515,223,69.80%,30.20%
Burgistein,881,60.80%,269,261,50.80%,49.20%,299,237,55.80%,44.20%,213,307,41.00%,59.00%,327,209,61.00%,39.00%
Eriz,430,57.40%,157,73,68.30%,31.70%,198,49,80.20%,19.80%,71,158,31.00%,69.00%,191,53,78.30%,21.70%
Fahrni,623,69.70%,291,143,67.10%,32.90%,230,139,62.30%,37.70%,125,239,34.30%,65.70%,249,121,67.30%,32.70%
Forst-Längenbühl,610,63.60%,198,178,52.70%,47.30%,239,149,61.60%,38.40%,140,234,37.40%,62.60%,246,135,64.60%,35.40%
Gurzelen,649,61.80%,229,165,58.10%,41.90%,230,171,57.40%,42.60%,151,237,38.90%,61.10%,259,139,65.10%,34.90%
Heiligenschwendi,524,57.30%,172,118,59.30%,40.70%,164,136,54.70%,45.30%,108,181,37.40%,62.60%,210,88,70.50%,29.50%
Heimberg,4'968,59.10%,1'580,1'292,55.00%,45.00%,1'505,1'431,51.30%,48.70%,999,1'845,35.10%,64.90%,1'974,933,67.90%,32.10%
Hilterfingen,3'160,64.80%,914,1'113,45.10%,54.90%,739,1'308,36.10%,63.90%,757,1'246,37.80%,62.20%,1'070,953,52.90%,47.10%
Homberg,384,64.80%,162,79,67.20%,32.80%,175,74,70.30%,29.70%,91,146,38.40%,61.60%,171,71,70.70%,29.30%
Horrenbach-Buchen,182,61.50%,77,32,70.60%,29.40%,101,11,90.20%,9.80%,42,66,38.90%,61.10%,88,23,79.30%,20.70%
Oberhofen ,1'878,70.80%,591,719,45.10%,54.90%,525,805,39.50%,60.50%,447,857,34.30%,65.70%,810,505,61.60%,38.40%
Oberlangenegg,384,58.90%,163,58,73.80%,26.20%,171,55,75.70%,24.30%,55,163,25.20%,74.80%,164,57,74.20%,25.80%
Pohlern,200,57.50%,65,46,58.60%,41.40%,78,37,67.80%,32.20%,39,75,34.20%,65.80%,85,28,75.20%,24.80%
Reutigen,786,64.20%,280,222,55.80%,44.20%,289,213,57.60%,42.40%,165,330,33.30%,66.70%,359,146,71.10%,28.90%
Schwendibach,198,65.20%,64,62,50.80%,49.20%,77,52,59.70%,40.30%,46,79,36.80%,63.20%,93,34,73.20%,26.80%
Seftigen,1'705,58.90%,547,448,55.00%,45.00%,498,506,49.60%,50.40%,372,608,38.00%,62.00%,616,379,61.90%,38.10%
Sigriswil,3'876,65.90%,1'374,1'133,54.80%,45.20%,1'559,997,61.00%,39.00%,917,1'565,36.90%,63.10%,1'668,868,65.80%,34.20%
Steffisburg,11'857,62.60%,3'712,3'591,50.80%,49.20%,3'305,4'117,44.50%,55.50%,2'801,4'406,38.90%,61.10%,4'524,2'831,61.50%,38.50%
Stocken-Höfen,792,53.80%,229,190,54.70%,45.30%,289,137,67.80%,32.20%,152,259,37.00%,63.00%,292,128,69.50%,30.50%
Teuffenthal,142,61.30%,53,34,60.90%,39.10%,64,23,73.60%,26.40%,45,40,52.90%,47.10%,52,34,60.50%,39.50%
Thierachern,1'836,64.40%,692,479,59.10%,40.90%,651,532,55.00%,45.00%,445,704,38.70%,61.30%,781,402,66.00%,34.00%
Thun,32'683,59.40%,8'883,10'173,46.60%,53.40%,7'850,11'553,40.50%,59.50%,7'596,11'268,40.30%,59.70%,11'347,7'845,59.10%,40.90%
Uebeschi,521,59.70%,191,120,61.40%,38.60%,209,102,67.20%,32.80%,115,186,38.20%,61.80%,184,127,59.20%,40.80%
Uetendorf,4'701,60.40%,1'543,1'269,54.90%,45.10%,1'575,1'263,55.50%,44.50%,1'018,1'708,37.30%,62.70%,1'794,1'008,64.00%,36.00%
Unterlangenegg,750,57.70%,286,144,66.50%,33.50%,295,138,68.10%,31.90%,131,296,30.70%,69.30%,319,113,73.80%,26.20%
Uttigen,1'501,58.80%,469,405,53.70%,46.30%,419,463,47.50%,52.50%,340,521,39.50%,60.50%,538,340,61.30%,38.70%
Wachseldorn,180,67.80%,95,25,79.20%,20.80%,93,29,76.20%,23.80%,31,88,26.10%,73.90%,95,25,79.20%,20.80%
